PlacetteID;Latitude;Longitude;Altitude;Sdom_Bio;Reg_Eco;Type_Eco;Cl_Drai;Espece;Etat;DHPcm;Nombre;Hauteur;Annee;Type_Eco_Photo;Age;Veg_Pot;origTreeID;sand_015cm;Pente;cec_015cm;Exposition;TMoy;PTot
8607302;49.794558;-71.332329;356;5O;5b;RS21;30;EPN;10;24;1;NA;2000;RS25;50;RS2;1;60;5;5;5;5;900
8607302;49.794558;-71.332329;356;5O;5b;RS21;30;SAB;10;24;1;NA;2000;RS25;50;RS2;2;60;5;5;5;5;900
8607302;49.794558;-71.332329;356;5O;5b;RS21;30;EPN;10;20;1;NA;2000;RS25;50;RS2;3;60;5;5;5;5;900
8607302;49.794558;-71.332329;356;5O;5b;RS21;30;EPN;10;18;1;NA;2000;RS25;50;RS2;4;60;5;5;5;5;900
8607302;49.794558;-71.332329;356;5O;5b;RS21;30;SAB;10;18;2;NA;2000;RS25;50;RS2;5;60;5;5;5;5;900
8607302;49.794558;-71.332329;356;5O;5b;RS21;30;EPN;10;16;5;NA;2000;RS25;50;RS2;6;60;5;5;5;5;900
8607302;49.794558;-71.332329;356;5O;5b;RS21;30;SAB;10;16;2;NA;2000;RS25;50;RS2;7;60;5;5;5;5;900
8607302;49.794558;-71.332329;356;5O;5b;RS21;30;EPN;10;14;13;NA;2000;RS25;50;RS2;8;60;5;5;5;5;900
8607302;49.794558;-71.332329;356;5O;5b;RS21;30;SAB;10;14;4;NA;2000;RS25;50;RS2;9;60;5;5;5;5;900
8607302;49.794558;-71.332329;356;5O;5b;RS21;30;EPN;10;12;14;NA;2000;RS25;50;RS2;10;60;5;5;5;5;900
8607302;49.794558;-71.332329;356;5O;5b;RS21;30;SAB;10;12;2;NA;2000;RS25;50;RS2;11;60;5;5;5;5;900
8607302;49.794558;-71.332329;356;5O;5b;RS21;30;EPN;10;10;20;NA;2000;RS25;50;RS2;12;60;5;5;5;5;900
8607302;49.794558;-71.332329;356;5O;5b;RS21;30;SAB;10;10;11;NA;2000;RS25;50;RS2;13;60;5;5;5;5;900
8800101;49.774994;-71.526104;410;5O;5b;RS39;60;EPN;10;28;1;NA;2000;RE21;90;RS3;1;60;5;5;5;5;900
8800101;49.774994;-71.526104;410;5O;5b;RS39;60;EPN;10;26;3;NA;2000;RE21;90;RS3;2;60;5;5;5;5;900
8800101;49.774994;-71.526104;410;5O;5b;RS39;60;EPN;10;24;3;NA;2000;RE21;90;RS3;3;60;5;5;5;5;900
8800101;49.774994;-71.526104;410;5O;5b;RS39;60;EPN;10;22;3;NA;2000;RE21;90;RS3;4;60;5;5;5;5;900
8800101;49.774994;-71.526104;410;5O;5b;RS39;60;EPN;10;20;4;NA;2000;RE21;90;RS3;5;60;5;5;5;5;900
8800101;49.774994;-71.526104;410;5O;5b;RS39;60;EPN;10;18;7;NA;2000;RE21;90;RS3;6;60;5;5;5;5;900
8800101;49.774994;-71.526104;410;5O;5b;RS39;60;EPN;10;16;6;NA;2000;RE21;90;RS3;7;60;5;5;5;5;900
8800101;49.774994;-71.526104;410;5O;5b;RS39;60;SAB;10;16;1;NA;2000;RE21;90;RS3;8;60;5;5;5;5;900
8800101;49.774994;-71.526104;410;5O;5b;RS39;60;EPN;10;14;7;NA;2000;RE21;90;RS3;9;60;5;5;5;5;900
8800101;49.774994;-71.526104;410;5O;5b;RS39;60;SAB;10;14;1;NA;2000;RE21;90;RS3;10;60;5;5;5;5;900
