VegPotID;Nothing;ParameterEstimates;SpeciesGroupID
1;1;0.57512363;6
1;1;0.000347727;9
1;1;0.77539795;9
1;1;-0.17861867;12
1;1;0.135243935;12
1;1;1.450314979;12
1;1;0.057217001;26
1;1;0.035223951;26
1;1;-0.315206743;26
1;1;1.076328746;26
2;1;1.083060266;10
2;1;-0.22338754;11
2;1;0.652467717;11
2;1;0.09923654;16
2;1;0.082449131;16
2;1;0.816949542;16
2;1;0.526730233;20
2;1;-0.193663759;20
2;1;-0.029793238;20
2;1;0.87496217;20
3;1;0.244545654;1
3;1;0.028018334;2
3;1;0.083319787;2
3;1;-0.005505637;3
3;1;-0.000231085;3
3;1;0.419202522;3
3;1;0.031850387;4
3;1;0.004347219;4
3;1;0.017204328;4
3;1;0.350018037;4
3;1;7.92E-05;5
3;1;0.010257568;5
3;1;0.001602677;5
3;1;-0.002994687;5
3;1;0.234678665;5
3;1;0.00308335;6
3;1;0.005283304;6
3;1;-0.024164555;6
3;1;0.021836206;6
3;1;0.003112326;6
3;1;0.073688214;6
3;1;0.017916515;7
3;1;0.00445267;7
3;1;0.018557446;7
3;1;0.064945185;7
3;1;-0.020318984;7
3;1;0.007465125;7
3;1;0.169931254;7
3;1;-0.013302898;8
3;1;-0.003106842;8
3;1;0.02829788;8
3;1;0.003299724;8
3;1;0.002784021;8
3;1;-0.005400494;8
3;1;0.014369086;8
3;1;0.100349803;8
3;1;0.027158228;9
3;1;0.024856616;9
3;1;0.050829607;9
3;1;0.082102416;9
3;1;0.058046488;9
3;1;6.53E-05;9
3;1;0.050902684;9
3;1;0.014815698;9
3;1;0.821780609;9
3;1;-0.093315166;10
3;1;-0.052463818;10
3;1;-0.000688285;10
3;1;-0.097881567;10
3;1;-0.013075556;10
3;1;-6.04E-06;10
3;1;-0.046909039;10
3;1;-0.016893274;10
3;1;-0.136843413;10
3;1;0.855965739;10
3;1;0.010810187;13
3;1;0.000735403;13
3;1;-0.004142462;13
3;1;0.010727761;13
3;1;0.009082304;13
3;1;0.007412246;13
3;1;-0.006909141;13
3;1;0.004268284;13
3;1;0.002644119;13
3;1;0.023661307;13
3;1;0.192317344;13
3;1;-0.062346785;17
3;1;-0.026220621;17
3;1;0.044922728;17
3;1;-0.01896281;17
3;1;-0.041923322;17
3;1;-0.01728196;17
3;1;-0.011446194;17
3;1;0.036874176;17
3;1;0.109993655;17
3;1;-0.052438125;17
3;1;-0.038887455;17
3;1;0.747259718;17
3;1;0.023375406;19
3;1;0.000466932;19
3;1;0.00539036;19
3;1;-0.00362744;19
3;1;0.01165628;19
3;1;-0.003236733;19
3;1;-0.007909343;19
3;1;-0.003812809;19
3;1;0.000797322;19
3;1;-0.033274955;19
3;1;0.014701767;19
3;1;-0.03271571;19
3;1;0.0666177;19
3;1;0.012585482;20
3;1;0.005956079;20
3;1;-0.038952195;20
3;1;-0.001941323;20
3;1;0.002286417;20
3;1;0.036341872;20
3;1;-0.005293185;20
3;1;-0.012599341;20
3;1;-0.02252503;20
3;1;0.019159719;20
3;1;0.041796105;20
3;1;-0.028246769;20
3;1;-0.004316496;20
3;1;0.28150183;20
3;1;0.030940059;21
3;1;0.036511397;21
3;1;-0.014569808;21
3;1;0.17298286;21
3;1;0.056016756;21
3;1;0.031387516;21
3;1;0.038686722;21
3;1;-0.012540143;21
3;1;0.130231415;21
3;1;-0.154510654;21
3;1;0.007050106;21
3;1;-0.103439099;21
3;1;0.01214737;21
3;1;-0.020930848;21
3;1;0.477158491;21
3;1;-0.00268547;24
3;1;0.005302929;24
3;1;-0.001233384;24
3;1;0.024295162;24
3;1;0.041170248;24
3;1;-0.003190117;24
3;1;-0.009105897;24
3;1;0.003150084;24
3;1;0.006545444;24
3;1;-0.028555612;24
3;1;0.016343639;24
3;1;-0.01063225;24
3;1;0.00684248;24
3;1;-0.011309046;24
3;1;0.03626196;24
3;1;0.114516049;24
3;1;0.015140773;25
3;1;0.014248947;25
3;1;0.031155783;25
3;1;0.006316222;25
3;1;0.0226221;25
3;1;-0.003798726;25
3;1;0.002051276;25
3;1;0.010881221;25
3;1;0.081472841;25
3;1;-0.08365661;25
3;1;0.009887191;25
3;1;0.03811964;25
3;1;-0.00047415;25
3;1;0.010884035;25
3;1;0.004573636;25
3;1;0.00300485;25
3;1;0.218008222;25
3;1;0.022408691;27
3;1;0.002127931;27
3;1;0.038501549;27
3;1;0.096260936;27
3;1;-0.018233928;27
3;1;0.013032987;27
3;1;0.147297409;27
3;1;0.016412237;27
3;1;0.081297693;27
3;1;-0.092648567;27
3;1;-0.009128663;27
3;1;-0.027440187;27
3;1;-0.013648567;27
3;1;0.012069546;27
3;1;0.110139076;27
3;1;-0.016282337;27
3;1;0.010560759;27
3;1;0.53443133;27
3;1;0.051633824;31
3;1;-0.016969074;31
3;1;-0.035352876;31
3;1;0.002504749;31
3;1;-0.020027053;31
3;1;0.028719298;31
3;1;0.028824922;31
3;1;-0.034255998;31
3;1;-0.062495045;31
3;1;0.101411889;31
3;1;-0.002003154;31
3;1;-0.108463785;31
3;1;0.011711075;31
3;1;0.08772548;31
3;1;0.032603691;31
3;1;-0.011220245;31
3;1;-0.038922478;31
3;1;0.050925927;31
3;1;0.470150951;31
4;1;0.581447238;3
