VegPotID;Nothing;ParameterEstimate;SpeciesGroupID
1;1;2.114687086;6
1;1;0.882089164;9
1;1;1.672525647;12
1;1;1.036873312;26
2;1;1.358448471;10
2;1;2.301361645;11
2;1;1.008396323;16
2;1;0.922200586;20
3;1;0.161335594;1
3;1;0.046030168;2
3;1;0.430883393;3
3;1;0.274920835;4
3;1;0.157986092;5
3;1;0.07919333;6
3;1;0.169706056;7
3;1;0.09216469;8
3;1;0.669670164;9
3;1;2.14232318;10
3;1;0.175998647;13
3;1;0.720582415;17
3;1;0.058461158;19
3;1;0.284150585;20
3;1;0.312184709;21
3;1;0.077403183;24
3;1;0.150627014;25
3;1;0.404661046;27
3;1;0.454649434;31
4;1;0.742847873;3
4;1;0.278384096;4
4;1;0.024715011;5
4;1;0.052139755;6
4;1;0.24350375;7
4;1;0.102360749;8
4;1;0.647134383;9
4;1;2.167124439;10
4;1;0.040074185;11
4;1;0.027101026;13
4;1;0.047786338;14
4;1;0.018910117;16
4;1;0.567241714;17
4;1;0.09005407;20
4;1;0.224541591;21
4;1;0.084042051;24
4;1;0.086842764;25
4;1;0.592148619;27
4;1;0.072935691;30
4;1;0.048146725;31
5;1;1.759070489;1
5;1;1.799715346;10
5;1;1.626108648;17
6;1;0.496125071;9
6;1;2.449771295;10
6;1;0.72800305;15
6;1;0.971021163;16
6;1;0.58159401;17
6;1;1.228149257;20
6;1;0.367528302;26
6;1;0.343519149;27
7;1;0.637263596;1
7;1;0.141038568;3
7;1;0.605751651;4
7;1;1.558604823;6
7;1;0.332541399;7
7;1;1.195390542;9
7;1;1.752500881;10
7;1;0.498195794;17
7;1;0.567722278;20
7;1;0.509456526;21
7;1;0.322608809;23
7;1;0.673193338;27
8;1;1.630759966;15
8;1;2.325746252;16
8;1;0.821589949;26
9;1;1.193865174;1
9;1;0.692828488;3
9;1;0.526764579;4
9;1;0.780768755;7
9;1;0.597109982;9
9;1;1.814806439;14
9;1;0.418954788;21
9;1;1.622999342;27
10;1;0.07751186;1
10;1;0.058674032;2
10;1;1.243255768;3
10;1;0.729007506;4
10;1;0.034417322;5
10;1;0.030517932;6
10;1;0.749978322;7
10;1;0.098759362;8
10;1;1.056452969;9
10;1;0.60417721;10
10;1;0.141123255;14
10;1;0.081188493;17
10;1;0.029101942;19
10;1;0.027350011;20
10;1;0.3025629;21
10;1;0.062776636;23
10;1;0.169030386;24
10;1;0.12932231;25
10;1;1.643590638;27
10;1;0.272578627;30
11;1;0.798461434;3
11;1;1.191126013;4
11;1;0.893339974;7
11;1;0.033521279;8
11;1;1.051364054;9
11;1;0.120275222;10
11;1;0.106427046;11
11;1;0.085023968;14
11;1;0.053411907;16
11;1;0.496098619;21
11;1;0.109228961;23
11;1;0.1678333;24
11;1;0.054411742;25
11;1;1.651364724;27
11;1;0.023939288;29
11;1;0.312159577;30
12;1;0.804426378;3
12;1;1.373889738;4
12;1;0.85448259;7
12;1;0.087362191;8
12;1;0.61303479;9
12;1;0.202469556;10
12;1;0.114143775;15
12;1;0.082418552;16
12;1;0.406998144;21
12;1;0.377577099;24
12;1;0.083158206;26
12;1;1.891541099;27
12;1;0.104251252;29
12;1;0.144861601;30
13;1;0.024824626;2
13;1;0.036270132;3
13;1;1.560242654;4
13;1;1.15355102;7
13;1;0.20050653;9
13;1;0.044588785;12
13;1;0.646404055;21
13;1;0.082388474;22
13;1;0.040698458;23
13;1;0.205217646;24
13;1;0.016809502;26
13;1;1.980040113;27
13;1;0.066529275;28
13;1;0.094392304;29
13;1;0.060739996;30
