VegPotID;Noting;ParameterEstimate;SpeciesGroupID
1;1;1.865774607;6
1;1;0.446231186;9
1;1;1.151442016;12
1;1;1.089980729;26
2;1;1.218625737;10
2;1;1.983539781;11
2;1;0.867909766;16
2;1;0.521460242;20
3;1;0.147786161;1
3;1;0.022957396;2
3;1;0.409185026;3
3;1;0.243764485;4
3;1;0.119306272;5
3;1;0.075579746;6
3;1;0.121355518;7
3;1;0.036799304;8
3;1;0.571838046;9
3;1;2.030669045;10
3;1;0.15001287;13
3;1;0.671039679;17
3;1;0.041803157;19
3;1;0.145731814;20
3;1;0.289058221;21
3;1;0.036305521;24
3;1;0.152538374;25
3;1;0.251553917;27
3;1;0.487302941;31
4;1;0.845198785;3
4;1;0.236189227;4
4;1;0.016593567;5
4;1;0.065566853;6
4;1;0.206429303;7
4;1;0.040095779;8
4;1;0.549051442;9
4;1;2.195763485;10
4;1;0.046865971;11
4;1;0.024506355;13
4;1;0.038735481;14
4;1;0.008996634;16
4;1;0.555690072;17
4;1;0.04251332;20
4;1;0.223389033;21
4;1;0.041002889;24
4;1;0.105770141;25
4;1;0.401697213;27
4;1;0.074649756;30
4;1;0.050626618;31
5;1;1.625133726;1
5;1;1.785772109;10
5;1;1.61045649;17
6;1;0.36311826;9
6;1;2.299689528;10
6;1;0.710919892;15
6;1;0.945753556;16
6;1;0.479112099;17
6;1;0.720137178;20
6;1;0.320374142;26
6;1;0.200986549;27
7;1;0.502467344;1
7;1;0.123288741;3
7;1;0.469960115;4
7;1;1.664653613;6
7;1;0.236284916;7
7;1;0.773779589;9
7;1;1.365280141;10
7;1;0.390217559;17
7;1;0.25584051;20
7;1;0.512705469;21
7;1;0.377404451;23
7;1;0.414361774;27
8;1;1.041166237;15
8;1;2.177911119;16
8;1;0.698970843;26
9;1;1.053231224;1
9;1;0.67545228;3
9;1;0.485509299;4
9;1;0.598492169;7
9;1;0.486912042;9
9;1;1.372056948;14
9;1;0.40464938;21
9;1;1.118277129;27
10;1;0.051840407;1
10;1;0.033366382;2
10;1;1.369764544;3
10;1;0.587258257;4
10;1;0.026851903;5
10;1;0.032007747;6
10;1;0.628112779;7
10;1;0.036750429;8
10;1;0.834990594;9
10;1;0.508538498;10
10;1;0.09135503;14
10;1;0.069704469;17
10;1;0.017402503;19
10;1;0.012654444;20
10;1;0.277922365;21
10;1;0.087138766;23
10;1;0.081531629;24
10;1;0.135924758;25
10;1;1.177277847;27
10;1;0.275191996;30
11;1;0.84805983;3
11;1;0.977385328;4
11;1;0.757039778;7
11;1;0.012295458;8
11;1;0.769833384;9
11;1;0.095279478;10
11;1;0.090182276;11
