VegPotID;SubModuleID;EffectID
1;1;12
1;1;42
1;1;50
1;1;31
1;2;14
1;2;10
1;2;47
1;2;41
1;2;31
1;3;14
1;3;38
1;3;78
1;3;31
1;4;45
1;4;72
1;4;31
1;5;47
1;5;31
2;1;14
2;1;31
2;2;14
2;2;10
2;2;11
2;2;45
2;2;31
2;3;14
2;3;47
2;3;37
2;3;31
2;4;47
2;4;31
2;5;14
2;5;45
2;5;31
3;1;14
3;1;10
3;1;18
3;1;45
3;1;43
3;1;41
3;1;50
3;1;34
3;1;95
3;1;31
3;2;14
3;2;12
3;2;11
3;2;45
3;2;66
3;2;3
3;2;49
3;2;31
3;3;14
3;3;47
3;3;38
3;3;99
3;3;31
3;4;14
3;4;47
3;4;71
3;4;99
3;4;31
3;5;14
3;5;45
3;5;69
3;5;41
3;5;3
3;5;31
4;1;14
4;1;10
4;1;18
4;1;43
4;1;50
4;1;2
4;1;99
4;1;34
4;1;95
4;1;31
4;2;14
4;2;12
4;2;11
4;2;47
4;2;3
4;2;50
4;2;49
4;2;83
4;2;31
4;3;14
4;3;47
4;3;38
4;3;51
4;3;42
4;3;2
4;3;99
4;3;31
4;4;14
4;4;47
4;4;71
4;4;94
4;4;92
4;4;99
4;4;50
4;4;31
4;5;14
4;5;45
4;5;69
4;5;41
4;5;3
4;5;83
4;5;31
5;1;14
5;1;10
5;1;17
5;1;44
5;1;41
5;1;3
5;1;31
5;2;14
5;2;10
5;2;11
5;2;45
5;2;31
5;3;14
5;3;45
5;3;37
5;3;31
5;4;14
5;4;47
5;4;31
5;5;45
5;5;31
6;1;14
6;1;12
6;1;17
6;1;82
6;1;43
6;1;3
6;1;31
6;2;14
6;2;12
6;2;45
6;2;3
6;2;49
6;2;51
6;2;31
6;3;14
6;3;47
6;3;38
6;3;31
6;4;14
6;4;47
6;4;3
6;4;31
6;5;14
6;5;69
6;5;31
7;1;14
7;1;10
7;1;18
7;1;32
7;1;43
7;1;3
7;1;34
7;1;31
7;2;14
7;2;12
7;2;11
7;2;43
7;2;3
7;2;49
7;2;31
7;3;14
7;3;47
7;3;38
7;3;31
7;4;14
7;4;45
7;4;71
7;4;41
7;4;31
7;5;14
7;5;45
7;5;49
7;5;31
8;1;10
8;1;62
8;1;31
8;2;14
8;2;12
8;2;11
8;2;45
8;2;31
8;3;14
8;3;45
8;3;38
8;3;31
8;4;69
8;4;71
8;4;31
8;5;14
8;5;45
8;5;35
8;5;50
8;5;31
9;1;14
9;1;10
9;1;18
9;1;43
9;1;41
9;1;32
9;1;31
9;2;14
9;2;12
9;2;45
9;2;3
9;2;49
9;2;31
9;3;14
9;3;45
9;3;38
9;3;50
9;3;31
9;4;14
9;4;31
9;5;45
9;5;31
10;1;14
10;1;10
10;1;18
10;1;44
10;1;50
10;1;41
10;1;3
10;1;2
10;1;49
10;1;83
10;1;31
10;2;14
10;2;12
10;2;59
10;2;47
10;2;3
10;2;34
10;2;31
10;3;14
10;3;47
10;3;38
10;3;51
10;3;3
10;3;2
10;3;99
10;3;49
10;3;31
10;4;14
10;4;47
10;4;71
10;4;50
10;4;49
10;4;99
10;4;31
10;5;14
10;5;69
10;5;41
10;5;50
10;5;3
10;5;83
10;5;31
11;1;12
11;1;18
11;1;45
11;1;43
11;1;42
11;1;82
11;1;3
11;1;34
11;1;31
11;2;14
11;2;12
11;2;11
11;2;45
11;2;49
11;2;41
11;2;3
11;2;31
11;3;14
11;3;47
11;3;38
11;3;51
11;3;41
11;3;3
11;3;49
11;3;31
11;4;14
11;4;47
