VegPotID,SubModuleID,ParameterEstimate
1,1,1.10051611
1,1,-0.002740386
1,1,0.000788037
1,1,-0.006204616
1,1,0.000016
1,1,0.005660139
1,1,-0.00451597
1,1,0.0000116
1,1,0.0000266
1,1,0.000532585
1,1,-0.001846326
1,1,4.97E-6
1,1,0.0000117
1,1,8.32E-6
1,1,0.000345171
1,1,-0.001293571
1,1,-0.0000103
1,1,6.68E-6
1,1,4.94E-6
1,1,1.75E-6
1,1,1.99E-6
1,1,-0.001235798
1,1,2.89E-6
1,1,-0.0000608
1,1,4.7E-6
1,1,1.65E-6
1,1,1.66E-6
1,1,2.43E-6
1,1,-0.001247651
1,1,2.94E-6
1,1,6.46E-6
1,1,-1.73E-6
1,1,1.7E-6
1,1,1.66E-6
1,1,1.6E-6
1,1,1.68E-6
1,1,-0.001286922
1,1,3.02E-6
1,1,6.65E-6
1,1,4.92E-6
1,1,-3.55E-6
1,1,1.72E-6
1,1,1.65E-6
1,1,1.65E-6
1,1,1.81E-6
1,1,0.053770143
1,1,-0.0000956
1,1,-0.00017477
1,1,-0.000143744
1,1,-2.53E-6
1,1,-0.000106143
1,1,-0.000103862
1,1,-0.000101382
1,1,-0.000105557
1,1,0.011652043
1,2,0.288480052
1,2,-0.01322172
1,2,0.0140702
1,2,-0.013387599
1,2,0.011689336
1,2,0.022151073
1,2,-0.013355302
1,2,0.011730761
1,2,0.011593687
1,2,0.017377338
1,2,-0.0000379
1,2,0.0000136
1,2,0.0000158
1,2,7.22E-6
1,2,3.18E-6
1,2,-0.000349187
1,2,-0.0000939
1,2,6.19E-6
1,2,8.4E-6
1,2,-1.54E-6
1,2,0.0000149
1,2,-0.000314533
1,2,-1.31E-6
1,2,-0.000550233
1,2,0.0000149
1,2,-8.12E-7
1,2,9.25E-6
1,2,0.0000433
1,2,-0.000301426
1,2,1.53E-6
1,2,0.00001
1,2,-0.000237135
1,2,-5.08E-7
1,2,9.3E-6
1,2,8.45E-6
1,2,0.0000213
1,2,-0.000835779
1,2,0.000415188
1,2,0.000419504
1,2,0.000423719
1,2,-1.15E-6
1,2,0.0000103
1,2,9.22E-6
1,2,9.28E-6
1,2,0.0000269
1,2,-0.000247794
1,2,7.97E-7
1,2,9.67E-7
1,2,6.3E-7
