"","PlacetteID","rcp","Annee","Mois","Tmin","Tmax","PTot"
"1",400202303,"RCP45",1991,1,-25.7226,-12.5839,74.6
"2",400202303,"RCP45",1991,2,-20.1286,-5.64286,45.9
"3",400202303,"RCP45",1991,3,-12.1581,-0.951613,119.6
"4",400202303,"RCP45",1991,4,-4.42,6.59333,96.3
"5",400202303,"RCP45",1991,5,1.74516,15.2452,106.5
"6",400202303,"RCP45",1991,6,7.47667,22.1333,53.5
"7",400202303,"RCP45",1991,7,10.4935,23.5,98.8
"8",400202303,"RCP45",1991,8,9.94839,21.8806,155.3
"9",400202303,"RCP45",1991,9,3.2,14.01,60.1
"10",400202303,"RCP45",1991,10,-0.290323,8.44839,175.6
"11",400202303,"RCP45",1991,11,-6.42,1.63333,35.5
"12",400202303,"RCP45",1991,12,-20.3161,-8.45806,65.9
"13",400202303,"RCP45",1992,1,-23.5871,-11.4484,97.7
"14",400202303,"RCP45",1992,2,-22.9724,-9.62759,74.5
"15",400202303,"RCP45",1992,3,-16.8129,-3.16452,65.8
"16",400202303,"RCP45",1992,4,-5.80667,4.56333,95.3
"17",400202303,"RCP45",1992,5,1.24516,17.3935,40.2
"18",400202303,"RCP45",1992,6,6.7,18.59,135.1
"19",400202303,"RCP45",1992,7,7.83548,18.9774,202.1
"20",400202303,"RCP45",1992,8,9.6129,20.0258,123.4
"21",400202303,"RCP45",1992,9,5.53667,16.49,115.2
"22",400202303,"RCP45",1992,10,-1.68387,5.7871,65.6
"23",400202303,"RCP45",1992,11,-8.10667,-0.453333,46.7
"24",400202303,"RCP45",1992,12,-15.5065,-5.92581,71.6
"25",400202303,"RCP45",1993,1,-23.9613,-11.0065,51.3
"26",400202303,"RCP45",1993,2,-26.6571,-12.6286,65.3
"27",400202303,"RCP45",1993,3,-15.3387,-0.574194,54.6
"28",400202303,"RCP45",1993,4,-3.67333,7.71667,59.9
"29",400202303,"RCP45",1993,5,3.12903,14.5645,113.4
"30",400202303,"RCP45",1993,6,6.92,20.4667,127.1
"31",400202303,"RCP45",1993,7,10.9677,22.6839,111.5
