"","...1","speciesGr","mod","Model","Parameter","Estimate","StdErr","ProbT"
"1",1,"BOG","M3","BOG_M3","b0",-0.1566542083629,NA,0.3456776135402
"2",2,"BOG","M3","BOG_M3","b1",0.82054724070868,NA,3.4083986614e-42
"3",NA,"BOG",NA,NA,"b1_u",0,NA,NA
"4",3,"BOG","M3","BOG_M3","b2",-0.0674774688708,NA,4.9466424409e-29
"5",4,"BOG","M3","BOG_M3","b2_2",0.0013635821829,NA,4.2925841493e-13
"6",5,"BOG","M3","BOG_M3","b3",-0.0364936493779,NA,1.24013992248e-08
"7",NA,"BOG",NA,NA,"b3_2",0,NA,NA
"8",NA,"BOG",NA,NA,"b4",0,NA,NA
"9",NA,"BOG",NA,NA,"b4_2",0,NA,NA
"10",NA,"BOG",NA,NA,"b4_3",0,NA,NA
"11",NA,"BOG",NA,NA,"b5",0,NA,NA
"12",NA,"BOG",NA,NA,"b6",0,NA,NA
"13",NA,"BOG",NA,NA,"c1",0,NA,NA
"14",NA,"BOG",NA,NA,"c1_2",0,NA,NA
"15",7,"BOG","M3","BOG_M3","c2",0.03086280673815,NA,0.00635086099269
"16",NA,"BOG",NA,NA,"c2_2",0,NA,NA
"17",NA,"BOG",NA,NA,"c4",0,NA,NA
"18",NA,"BOG",NA,NA,"c4_2",0,NA,NA
"19",NA,"BOG",NA,NA,"d1",0,NA,NA
"20",NA,"BOG",NA,NA,"d3",0,NA,NA
"21",6,"BOG","M3","BOG_M3","d4",-0.2940257055051,NA,2.121297133e-05
"22",NA,"BOG",NA,NA,"f1",0,NA,NA
"23",8,"BOG","M3","BOG_M3","s2",0.12016956580831,NA,3.4769812737e-17
"24",9,"BOG","M3","BOG_M3","s2u_t",0.05653590043287,NA,4.830122357e-05
"25",10,"BOJ","M3","BOJ_M3","b0",0.24446526935496,NA,0.00018026145425
"26",NA,"BOJ",NA,NA,"b1",0,NA,NA
"27",11,"BOJ","M3","BOJ_M3","b1_u",0.06950978034939,NA,0
"28",12,"BOJ","M3","BOJ_M3","b2",-0.0151830547724,NA,5.227748743e-227
"29",NA,"BOJ",NA,NA,"b2_2",0,NA,NA
"30",13,"BOJ","M3","BOJ_M3","b3",-0.0198525208672,NA,6.7080437592e-62
"31",14,"BOJ","M3","BOJ_M3","b3_2",0.31675095636149,NA,3.8875769359e-27
