Essence;Variable;Moyenne;EcType
BOJ;DD;1780.282;305.622
;PTot;1166.597;244.5918
CHR;DD;2443.832;607.8418
;Putil;320.3535;61.00738
EPR;Tmoy;5.773899;1.494464
;VPD;11.92275;1.920288
ERS;logPTot;6.939388;0.2185948
;TMoy;6.466371;3.00524
FRN;DD;1898.087;214.019
;PTot;815.1723;159.596
HEG;DD;1863.563;248.8182
;VPD;13.29269;1.516079
OSV;TMoy;7.93442;3.787065
;VPD;14.64478;2.001691
PEB;PTot;789.8199;164.3715
;TMoy;4.308384;1.579392
PEG;PTot;942.5568;195.9263
PIB;TMoy;7.705083;2.60846
;PUtil;312.611;61.12813
PRU;TMoy;7.479256;2.202851
;VPD;14.02767;1.591853
THO;logPTot;6.764033;0.1991497
;VPD;13.58368;1.885541
TIL;Putil;299.4213;56.57907
