Essence;Effect;PenteCl;Estimate
BOP;AgeMoy;;0.01402
EPB;AgeMoy;;0.006916
EPN;AgeMoy;;0.01022
ERR;AgeMoy;;0.00559
PEU;AgeMoy;;0.01539
PIG;AgeMoy;;0.02678
SAB;AgeMoy;;0.008335
ERR;CEC_015cm;;-0.1222
SAB;CEC_015cm;;-0.01406
BOP;Coupe;;0.5821
ERR;Coupe;;0.3915
SAB;Coupe;;0.2455
BOJ;Coupe0;;0.2874
BOP;Coupe0;;0.8248
EPB;Coupe0;;0.5406
EPN;Coupe0;;1.1897
ERR;Coupe0;;0.4614
PEU;Coupe0;;0.4631
PIG;Coupe0;;0.5533
SAB;Coupe0;;0.839
SAB;DD;;0.000235
BOJ;Dhpcm;;0.04809
BOP;Dhpcm;;0.08348
EPB;Dhpcm;;0.1616
EPN;Dhpcm;;0.0699
ERR;Dhpcm;;0.08693
PEU;Dhpcm;;0.1098
PIG;Dhpcm;;0.2065
SAB;Dhpcm;;0.05398
BOP;DrHydXer;;0.2305
EPN;DrHydXer;;0.202
SAB;DrHydXer;;0.4742
BOJ;Intercept;;-9.4022
BOP;Intercept;;-3.7546
EPB;Intercept;;-2.2321
EPN;Intercept;;-7.86
ERR;Intercept;;-2.8277
PEU;Intercept;;-5.4176
PIG;Intercept;;9.2929
SAB;Intercept;;-8.3472
EPN;logAridity;;0.1719
SAB;logAridity;;0.1711
BOJ;logDD;;0.9105
BOJ;logDhpcm;;-1.0596
BOP;logDhpcm;;-1.5077
EPB;logDhpcm;;-2.5968
ERR;logDhpcm;;-1.1289
PEU;logDhpcm;;-2.7572
PIG;logDhpcm;;-3.9024
SAB;logDhpcm;;0.6239
PIG;logPTot;;-1.2587
EPN;logTMoy;;0.3471
PEU;logTSummer;;2.2603
PIG;Pente;B;-0.204
PIG;Pente;C;-0.08559
PIG;Pente;D;-0.2412
PIG;Pente;EF;0.7426
SAB;Pente;B;-0.2966
SAB;Pente;C;-0.2766
SAB;Pente;D;-0.219
SAB;Pente;EF;-0.1295
EPN;Sand_015cm;;-0.00456
BOP;st_ha_cumul_gt;;0.009502
EPB;st_ha_cumul_gt;;0.0395
EPN;st_ha_cumul_gt;;0.03702
ERR;st_ha_cumul_gt;;0.06295
PEU;st_ha_cumul_gt;;0.03926
PIG;st_ha_cumul_gt;;0.08233
SAB;st_ha_cumul_gt;;0.02293
ERR;Sum_St_Ha;;-0.05211
PIG;TextFinGros;;-0.4811
BOP;TMaxUtil;;0.05394
EPB;TMoy;;0.1058
