Veg_Pot;ess;Espece;GrEspece;awood;bwood;cwood;abark;bbark;cbark;abranche;bbranche;cbranche;afoliage;bfoliage;cfoliage
FC1;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
FE1;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
FE2;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
FE3;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
FE4;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
FE5;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
FE6;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
FO1;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
MF1;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
MJ1;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
MJ2;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
MS1;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
MS2;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
MS6;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
RB1;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
RB5;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
RC3;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
RE1;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
RE2;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
RE3;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
RP1;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
RS1;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
RS2;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
RS3;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
RS5;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
RT1;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
ME1;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
FEX;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
FEY;Balsam Fir;SAB;SAB;0.029364;1.835727;0.864026;0.005258;2.087631;0.584224;0.011714;3.509709;-1.30059;0.12448;2.522991;-1.12299
FC1;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
FE1;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
FE2;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
FE3;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
FE4;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
FE5;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
FE6;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
FO1;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
MF1;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
MJ1;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
MJ2;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
MS1;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
MS2;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
MS6;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
RB1;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
RB5;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
RC3;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
RE1;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
RE2;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
RE3;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
RP1;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
RS1;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
RS2;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
RS3;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
RS5;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
RT1;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
ME1;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
FEX;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
FEY;Balsam Poplar;PEB;NA;0.011735;1.775691;1.25554;0.018041;1.81308;0.514389;0.011174;3.086139;-0.71644;0.061724;1.86155;-0.53746
FC1;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
FE1;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
FE2;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
FE3;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
FE4;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
FE5;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
FE6;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
FO1;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
MF1;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
MJ1;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
MJ2;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
MS1;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
MS2;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
MS6;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
RB1;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
RB5;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
RC3;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
RE1;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
RE2;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
RE3;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
RP1;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
RS1;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
RS2;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
RS3;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
RS5;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
RT1;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
ME1;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
FEX;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
FEY;Black Ash;FRN;FRN;0.03065;2.183563;0.574019;0.089684;2.263351;-0.56701;0.099443;2.162966;-0.48089;0.012378;1.032456;0.874704
FC1;Black Cherry;CET;CET;0.01812;1.701335;1.30572;0.010148;1.595642;0.919004;4.55e-4;2.800351;0.86034;0.197632;1.442094;-0.52635
FE1;Black Cherry;CET;CET;0.01812;1.701335;1.30572;0.010148;1.595642;0.919004;4.55e-4;2.800351;0.86034;0.197632;1.442094;-0.52635
FE2;Black Cherry;CET;CET;0.01812;1.701335;1.30572;0.010148;1.595642;0.919004;4.55e-4;2.800351;0.86034;0.197632;1.442094;-0.52635
FE3;Black Cherry;CET;CET;0.01812;1.701335;1.30572;0.010148;1.595642;0.919004;4.55e-4;2.800351;0.86034;0.197632;1.442094;-0.52635
FE4;Black Cherry;CET;CET;0.01812;1.701335;1.30572;0.010148;1.595642;0.919004;4.55e-4;2.800351;0.86034;0.197632;1.442094;-0.52635
FE5;Black Cherry;CET;CET;0.01812;1.701335;1.30572;0.010148;1.595642;0.919004;4.55e-4;2.800351;0.86034;0.197632;1.442094;-0.52635
FE6;Black Cherry;CET;CET;0.01812;1.701335;1.30572;0.010148;1.595642;0.919004;4.55e-4;2.800351;0.86034;0.197632;1.442094;-0.52635
FO1;Black Cherry;CET;CET;0.01812;1.701335;1.30572;0.010148;1.595642;0.919004;4.55e-4;2.800351;0.86034;0.197632;1.442094;-0.52635
MF1;Black Cherry;CET;CET;0.01812;1.701335;1.30572;0.010148;1.595642;0.919004;4.55e-4;2.800351;0.86034;0.197632;1.442094;-0.52635
MJ1;Black Cherry;CET;CET;0.01812;1.701335;1.30572;0.010148;1.595642;0.919004;4.55e-4;2.800351;0.86034;0.197632;1.442094;-0.52635
MJ2;Black Cherry;CET;CET;0.01812;1.701335;1.30572;0.010148;1.595642;0.919004;4.55e-4;2.800351;0.86034;0.197632;1.442094;-0.52635
MS1;Black Cherry;CET;CET;0.01812;1.701335;1.30572;0.010148;1.595642;0.919004;4.55e-4;2.800351;0.86034;0.197632;1.442094;-0.52635
