VegPotID;Nothing;ParameterEstimates;SpeciesGroupID
1;1;0.776502833;6
1;1;-0.086231635;9
1;1;0.250502807;9
1;1;0.023602756;12
1;1;-0.001291493;12
1;1;0.988445726;12
1;1;-0.057433894;26
1;1;0.038335231;26
1;1;-0.417427582;26
1;1;1.374008938;26
2;1;0.9436574;10
2;1;-0.239133104;11
2;1;0.824696144;11
2;1;0.147685147;16
2;1;-0.062848223;16
2;1;0.657313503;16
2;1;0.292149209;20
2;1;-0.211491045;20
2;1;0.062158331;20
2;1;0.383491087;20
3;1;0.246205811;1
3;1;0.012202964;2
3;1;0.02717966;2
3;1;-0.014723149;3
3;1;-0.003265658;3
3;1;0.464085419;3
3;1;0.026893819;4
3;1;-0.000459745;4
3;1;-0.003789637;4
3;1;0.306749157;4
3;1;-0.006084855;5
3;1;0.002377082;5
3;1;-0.01021389;5
3;1;-0.008501642;5
3;1;0.1427039;5
3;1;-0.000361157;6
3;1;0.002423505;6
3;1;-0.024132053;6
3;1;0.016136021;6
3;1;-0.001608073;6
3;1;0.088405416;6
3;1;0.013627963;7
3;1;0.001122042;7
3;1;0.013491242;7
3;1;0.045512234;7
3;1;-0.011881366;7
3;1;0.0067436;7
3;1;0.112440114;7
3;1;-0.004982741;8
3;1;-0.000616994;8
3;1;0.011409265;8
3;1;0.002212367;8
3;1;0.000375235;8
3;1;-0.001782605;8
3;1;0.004919062;8
3;1;0.018631004;8
3;1;0.011139179;9
3;1;0.003572351;9
3;1;0.017653948;9
3;1;0.032892707;9
3;1;0.019767423;9
3;1;-0.012437318;9
3;1;0.030007379;9
3;1;0.007377755;9
3;1;0.650715335;9
3;1;-0.112877833;10
3;1;-0.029570228;10
3;1;0.044955222;10
3;1;-0.120948326;10
3;1;-0.028561344;10
3;1;-0.009413548;10
3;1;-0.051082301;10
3;1;-0.005331449;10
3;1;-0.143808453;10
3;1;0.998089776;10
3;1;0.006232056;13
3;1;-0.001721362;13
3;1;-0.01172083;13
3;1;0.003991749;13
3;1;-0.004131801;13
3;1;0.000843754;13
3;1;-0.003096604;13
3;1;0.001361701;13
3;1;-0.004898187;13
3;1;0.012713514;13
3;1;0.183347054;13
3;1;-0.053359605;17
3;1;-0.012808682;17
3;1;0.060801007;17
3;1;-0.036099087;17
3;1;-0.041387426;17
3;1;-0.020669752;17
3;1;0.004604862;17
3;1;0.016548124;17
3;1;0.089623306;17
3;1;0.047786889;17
3;1;-0.028660574;17
3;1;0.760496533;17
3;1;0.014279652;19
3;1;-0.000484796;19
3;1;0.000335398;19
3;1;-0.005363545;19
3;1;0.002561818;19
3;1;-0.001953174;19
3;1;-0.004179418;19
3;1;-0.001224186;19
3;1;-0.007082967;19
3;1;-0.010729928;19
3;1;0.00843379;19
3;1;-0.018312333;19
3;1;0.042314546;19
3;1;0.006124255;20
3;1;0.003649865;20
3;1;-0.023362399;20
3;1;-0.0025326;20
3;1;0.000170935;20
3;1;0.022824456;20
3;1;-0.00270172;20
3;1;-0.00259105;20
3;1;-0.017158423;20
3;1;-2.04E-05;20
3;1;0.020599743;20
3;1;-0.019567059;20
3;1;-0.002358517;20
3;1;0.096373317;20
3;1;0.021955073;21
3;1;0.014204674;21
3;1;-0.044090073;21
