VegPotID,SubModuleID,ParameterEstimate,CovParm,Subject,Veg_pot,CovParmEffet
1,2,0.0109509103,Intercept,no_mes(placette),FC1,1
1,2,0.0184625501,Intercept,placette,FC1,3
1,2,0.1541530387,SP(LINL),No_arbre(placette),FC1,5
1,2,0.1197369892,Residual,,FC1,4
2,2,0.0163350382,Intercept,no_mes(placette),FE1,1
2,2,0.0158047771,Intercept,placette,FE1,3
2,2,0.963894361,SP(POW),No_arbre(placette),FE1,6
2,2,0.186500148,Residual,,FE1,4
3,2,0.0161606645,Intercept,no_mes(placette),FE2,1
3,2,0.0192521111,Intercept,placette,FE2,3
3,2,0.9540387674,SP(POW),No_arbre(placette),FE2,6
3,2,0.1841181574,Residual,,FE2,4
4,2,0.0185013265,Intercept,no_mes(placette),FE3,1
4,2,0.0165122866,Intercept,placette,FE3,3
4,2,0.9540996979,SP(POW),No_arbre(placette),FE3,6
4,2,0.1725605875,Residual,,FE3,4
5,2,0.0176283559,Intercept,no_mes(placette),FE4,1
5,2,0.0189241493,Intercept,placette,FE4,3
5,2,0.9630462748,SP(POW),No_arbre(placette),FE4,6
5,2,0.1685207641,Residual,,FE4,4
6,2,0.0174262976,Intercept,no_mes(placette),FE5,1
6,2,0.0156822977,Intercept,placette,FE5,3
6,2,0.1836324697,SP(LINL),No_arbre(placette),FE5,5
6,2,0.1453195139,Residual,,FE5,4
7,2,0.0111975309,Intercept,no_mes(placette),FE6,1
7,2,0.0179233342,Intercept,placette,FE6,3
7,2,0.1688526689,SP(LINL),No_arbre(placette),FE6,5
7,2,0.1249951421,Residual,,FE6,4
8,2,0.0325005472,Intercept,no_mes(placette),FO1,1
8,2,0.0324712708,Intercept,placette,FO1,3
8,2,0.1477619003,SP(LINL),No_arbre(placette),FO1,5
8,2,0.1457141879,Residual,,FO1,4
9,2,0.009830158,Intercept,no_mes(placette),MF1,1
9,2,0.0328874654,Intercept,placette,MF1,3
9,2,0.9619176595,SP(POW),No_arbre(placette),MF1,6
9,2,0.1606252231,Residual,,MF1,4
10,2,0.0117668725,Intercept,no_mes(placette),MJ1,1
10,2,0.0254720278,Intercept,placette,MJ1,3
10,2,0.96167866,SP(POW),No_arbre(placette),MJ1,6
10,2,0.1753252434,Residual,,MJ1,4
11,2,0.0172714482,Intercept,no_mes(placette),MJ2,1
11,2,0.0194377406,Intercept,placette,MJ2,3
11,2,0.9565481066,SP(POW),No_arbre(placette),MJ2,6
11,2,0.1596577926,Residual,,MJ2,4
12,2,0.0145681773,Intercept,no_mes(placette),MS1,1
12,2,0.0168793206,Intercept,placette,MS1,3
12,2,0.9590156454,SP(POW),No_arbre(placette),MS1,6
12,2,0.1487590936,Residual,,MS1,4
13,2,0.027468338,Intercept,no_mes(placette),MS2,1
13,2,0.029100884,Intercept,placette,MS2,3
