SpeciesID;SpeciesName;VegpotID
1;BOG;1
2;BOJ;1
3;BOP;1
4;CAC;1
5;CAF;1
6;CAR;1
7;CEO;1
8;CET;1
9;CHX;1
10;CRA;1
11;EPX;1
12;ERA;1
13;ERG;1
14;ERN;1
15;ERP;1
16;ERR;1
17;ERS;1
18;FRA;1
19;FRN;1
20;FRP;1
21;HEG;1
22;JUV;1
23;MAS;1
24;MEJ;1
25;MEL;1
26;MEU;1
27;NOC;1
28;ORA;1
29;ORR;1
30;ORT;1
31;OSV;1
32;PEU;1
33;PID;1
34;PIG;1
35;PIN;1
36;PIS;1
37;PRP;1
38;PRU;1
39;SAB;1
40;SAL;1
41;SOA;1
42;SOD;1
43;THO;1
44;TIL;1
1;BOG;2
2;BOJ;2
3;BOP;2
4;CAC;2
5;CAF;2
6;CAR;2
7;CEO;2
8;CET;2
9;CHX;2
10;CRA;2
11;EPX;2
12;ERA;2
13;ERG;2
14;ERN;2
15;ERP;2
16;ERR;2
17;ERS;2
18;FRA;2
19;FRN;2
20;FRP;2
21;HEG;2
22;JUV;2
23;MAS;2
24;MEJ;2
25;MEL;2
26;MEU;2
27;NOC;2
28;ORA;2
29;ORR;2
30;ORT;2
31;OSV;2
32;PEU;2
33;PID;2
34;PIG;2
35;PIN;2
36;PIS;2
37;PRP;2
38;PRU;2
39;SAB;2
40;SAL;2
41;SOA;2
42;SOD;2
43;THO;2
44;TIL;2
1;BOG;3
2;BOJ;3
3;BOP;3
4;CAC;3
5;CAF;3
6;CAR;3
7;CEO;3
8;CET;3
9;CHX;3
10;CRA;3
11;EPX;3
12;ERA;3
13;ERG;3
14;ERN;3
15;ERP;3
16;ERR;3
17;ERS;3
18;FRA;3
19;FRN;3
20;FRP;3
21;HEG;3
22;JUV;3
23;MAS;3
24;MEJ;3
25;MEL;3
26;MEU;3
27;NOC;3
28;ORA;3
29;ORR;3
30;ORT;3
31;OSV;3
32;PEU;3
33;PID;3
34;PIG;3
35;PIN;3
36;PIS;3
37;PRP;3
38;PRU;3
39;SAB;3
40;SAL;3
41;SOA;3
42;SOD;3
43;THO;3
44;TIL;3
1;BOG;4
2;BOJ;4
3;BOP;4
4;CAC;4
5;CAF;4
6;CAR;4
7;CEO;4
8;CET;4
9;CHX;4
10;CRA;4
11;EPX;4
12;ERA;4
13;ERG;4
14;ERN;4
