reg_eco;PlacetteID;rcp;Mois;Latitude;Altitude;Tmin;Tmax;Radiation;PTot;Vent2;Annee
5c;P700200801;RCP45;2;48.134455;481;-21.1;-7.533333333;9.36;39.36666667;2.064814815;1991
5c;P700200801;RCP45;3;48.134455;481;-14.8;-1.066666667;14.69032258;41.03333333;2.212962963;1991
5c;P700200801;RCP45;4;48.134455;481;-5.066666667;7;19.22222222;57.03333333;2.314814815;1991
5c;P700200801;RCP45;5;48.134455;481;2.1;15.43333333;22.44408602;80.23333333;2.203703704;1991
5c;P700200801;RCP45;6;48.134455;481;7.633333333;21;21.58;73.86666667;2.037037037;1991
5c;P700200801;RCP45;7;48.134455;481;10.63333333;23.1;19.36129032;98;1.898148148;1991
5c;P700200801;RCP45;8;48.134455;481;9.4;21.5;16.6483871;84.9;1.907407407;1991
5c;P700200801;RCP45;9;48.134455;481;5.433333333;16.93333333;12.17888889;81.23333333;2;1991
5c;P700200801;RCP45;10;48.134455;481;-0.766666667;8.666666667;7.58172043;70.46666667;2.203703704;1991
5c;P700200801;RCP45;11;48.134455;481;-7.033333333;1.5;5.231111111;63.7;2.212962963;1991
5c;P700200801;RCP45;12;48.134455;481;-16.83333333;-6.266666667;5.027956989;59.43333333;2.055555556;1991
5c;P700200801;RCP45;1;48.134455;481;-22.33333333;-9.633333333;6.387096774;53.1;2.027777778;1991
5c;P700200801;RCP45;2;48.134455;481;-21.1;-7.533333333;9.36;39.36666667;2.064814815;1992
5c;P700200801;RCP45;3;48.134455;481;-14.8;-1.066666667;14.69032258;41.03333333;2.212962963;1992
5c;P700200801;RCP45;4;48.134455;481;-5.066666667;7;19.22222222;57.03333333;2.314814815;1992
5c;P700200801;RCP45;5;48.134455;481;2.1;15.43333333;22.44408602;80.23333333;2.203703704;1992
5c;P700200801;RCP45;6;48.134455;481;7.633333333;21;21.58;73.86666667;2.037037037;1992
5c;P700200801;RCP45;7;48.134455;481;10.63333333;23.1;19.36129032;98;1.898148148;1992
5c;P700200801;RCP45;8;48.134455;481;9.4;21.5;16.6483871;84.9;1.907407407;1992
5c;P700200801;RCP45;9;48.134455;481;5.433333333;16.93333333;12.17888889;81.23333333;2;1992
5c;P700200801;RCP45;10;48.134455;481;-0.766666667;8.666666667;7.58172043;70.46666667;2.203703704;1992
5c;P700200801;RCP45;11;48.134455;481;-7.033333333;1.5;5.231111111;63.7;2.212962963;1992
5c;P700200801;RCP45;12;48.134455;481;-16.83333333;-6.266666667;5.027956989;59.43333333;2.055555556;1992
5c;P700200801;RCP45;1;48.134455;481;-22.33333333;-9.633333333;6.387096774;53.1;2.027777778;1992
5c;P700200801;RCP45;2;48.134455;481;-21.1;-7.533333333;9.36;39.36666667;2.064814815;1993
5c;P700200801;RCP45;3;48.134455;481;-14.8;-1.066666667;14.69032258;41.03333333;2.212962963;1993
5c;P700200801;RCP45;4;48.134455;481;-5.066666667;7;19.22222222;57.03333333;2.314814815;1993
5c;P700200801;RCP45;5;48.134455;481;2.1;15.43333333;22.44408602;80.23333333;2.203703704;1993
5c;P700200801;RCP45;6;48.134455;481;7.633333333;21;21.58;73.86666667;2.037037037;1993
5c;P700200801;RCP45;7;48.134455;481;10.63333333;23.1;19.36129032;98;1.898148148;1993
5c;P700200801;RCP45;8;48.134455;481;9.4;21.5;16.6483871;84.9;1.907407407;1993
5c;P700200801;RCP45;9;48.134455;481;5.433333333;16.93333333;12.17888889;81.23333333;2;1993
5c;P700200801;RCP45;10;48.134455;481;-0.766666667;8.666666667;7.58172043;70.46666667;2.203703704;1993
5c;P700200801;RCP45;11;48.134455;481;-7.033333333;1.5;5.231111111;63.7;2.212962963;1993
5c;P700200801;RCP45;12;48.134455;481;-16.83333333;-6.266666667;5.027956989;59.43333333;2.055555556;1993
5c;P700200801;RCP45;1;48.134455;481;-22.33333333;-9.633333333;6.387096774;53.1;2.027777778;1993
5c;P700200801;RCP45;2;48.134455;481;-21.1;-7.533333333;9.36;39.36666667;2.064814815;1994
5c;P700200801;RCP45;3;48.134455;481;-14.8;-1.066666667;14.69032258;41.03333333;2.212962963;1994
5c;P700200801;RCP45;4;48.134455;481;-5.066666667;7;19.22222222;57.03333333;2.314814815;1994
5c;P700200801;RCP45;5;48.134455;481;2.1;15.43333333;22.44408602;80.23333333;2.203703704;1994
5c;P700200801;RCP45;6;48.134455;481;7.633333333;21;21.58;73.86666667;2.037037037;1994
5c;P700200801;RCP45;7;48.134455;481;10.63333333;23.1;19.36129032;98;1.898148148;1994
5c;P700200801;RCP45;8;48.134455;481;9.4;21.5;16.6483871;84.9;1.907407407;1994
5c;P700200801;RCP45;9;48.134455;481;5.433333333;16.93333333;12.17888889;81.23333333;2;1994
5c;P700200801;RCP45;10;48.134455;481;-0.766666667;8.666666667;7.58172043;70.46666667;2.203703704;1994
5c;P700200801;RCP45;11;48.134455;481;-7.033333333;1.5;5.231111111;63.7;2.212962963;1994
5c;P700200801;RCP45;12;48.134455;481;-16.83333333;-6.266666667;5.027956989;59.43333333;2.055555556;1994
5c;P700200801;RCP45;1;48.134455;481;-22.33333333;-9.633333333;6.387096774;53.1;2.027777778;1994
5c;P700200801;RCP45;2;48.134455;481;-21.1;-7.533333333;9.36;39.36666667;2.064814815;1995
5c;P700200801;RCP45;3;48.134455;481;-14.8;-1.066666667;14.69032258;41.03333333;2.212962963;1995
5c;P700200801;RCP45;4;48.134455;481;-5.066666667;7;19.22222222;57.03333333;2.314814815;1995
5c;P700200801;RCP45;5;48.134455;481;2.1;15.43333333;22.44408602;80.23333333;2.203703704;1995
5c;P700200801;RCP45;6;48.134455;481;7.633333333;21;21.58;73.86666667;2.037037037;1995
5c;P700200801;RCP45;7;48.134455;481;10.63333333;23.1;19.36129032;98;1.898148148;1995
5c;P700200801;RCP45;8;48.134455;481;9.4;21.5;16.6483871;84.9;1.907407407;1995
5c;P700200801;RCP45;9;48.134455;481;5.433333333;16.93333333;12.17888889;81.23333333;2;1995
5c;P700200801;RCP45;10;48.134455;481;-0.766666667;8.666666667;7.58172043;70.46666667;2.203703704;1995
5c;P700200801;RCP45;11;48.134455;481;-7.033333333;1.5;5.231111111;63.7;2.212962963;1995
5c;P700200801;RCP45;12;48.134455;481;-16.83333333;-6.266666667;5.027956989;59.43333333;2.055555556;1995
5c;P700200801;RCP45;1;48.134455;481;-22.33333333;-9.633333333;6.387096774;53.1;2.027777778;1995
5c;P700200801;RCP45;2;48.134455;481;-21.1;-7.533333333;9.36;39.36666667;2.064814815;1996
5c;P700200801;RCP45;3;48.134455;481;-14.8;-1.066666667;14.69032258;41.03333333;2.212962963;1996
5c;P700200801;RCP45;4;48.134455;481;-5.066666667;7;19.22222222;57.03333333;2.314814815;1996
5c;P700200801;RCP45;5;48.134455;481;2.1;15.43333333;22.44408602;80.23333333;2.203703704;1996
