Essence;Variable;Model;Moyenne;EcartType;Minimum;Maximum;MinimumSTD;MaximumSTD;Quant025;Quant975;Quant025STD;Quant975STD;Quant05;Quant95
PEB;TMoy;Mort_CANEU;4.308384;1.579392;-0.4818182;10.5375;-3.032940651;3.943996171;1.171429;7.25;-1.986178859;1.862498987;;
PEB;PTot;Mort_CANEU;789.8199;164.3715;467;1632;-1.963965164;5.123638222;578.0597;1189.68;-1.288302413;2.432660771;;
CHR;DD;Mort_CANEU;2443.832;607.8418;1458.083;5320.44;-1.621719665;4.732494541;1729.833;3964.771;-1.1746461;2.502195473;;
CHR;PUtile;Mort_CANEU;320.3535;61.00738;149.2833;920.7;-2.804090259;9.840555356;208.64;440.58;-1.831147314;1.970687809;;
ERS;logPTot;Mort_CANEU;6.939388;0.2185948;6.228018;7.689763;-3.254286012;3.432721181;6.537054;7.327824;-1.840546985;1.776968162;;
ERS;TMoy;Mort_CANEU;6.466371;3.00524;0.5333333;16.975;-1.97423091;3.496768644;2.45;14;-1.33645599;2.506831068;;
FRN;DD;Mort_CANEU;1896.924;215.1318;1228.877;3654.75;-3.105291733;8.170925916;1485.733;2357.483;-1.91134458;2.14082251;;
HEG;DD;Mort_CANEU;1863.818;247.9099;1236.015;3258.988;-2.532383741;5.627730075;1490.029;2411.846;-1.507761489;2.210593445;;
HEG;TotalVPD;Mort_CANEU;13.29269;1.516079;6.935486;20.93326;-4.193187822;5.039691203;9.930243;15.867722;-2.217857381;1.698481412;;
OSV;TMoy;Mort_CANEU;7.93442;3.787065;1.522222;19.9667;-1.693184036;3.177204511;3.39025;18.3;-1.199918671;2.737101159;;
OSV;TotalVPD;Mort_CANEU;14.64478;2.001691;7.087857;22.96262;-3.77526951;4.155406604;11.17948;19.3054;-1.731186282;2.328341387;;
PEG;PTot;Mort_CANEU;942.5568;195.9263;484.1667;1712.42;-2.339604739;3.929350986;670.5833;1417.4167;-1.388141868;2.42366594;;
PIB;PUtile;Mort_CANEU;312.611;61.12813;147.3429;950.6;-2.703634153;10.43691341;204.4167;426.9;-1.769959264;1.869662952;;
PIB;TMoy;Mort_CANEU;7.705083;2.60846;0.8714286;16;-2.619804176;3.180005444;3.109365;14.2;-1.761851054;2.489943108;;
PRU;TMoy;Mort_CANEU;7.466884;2.207824;1.608333;15.98889;-2.653540771;3.859911841;4.16;13.53333;-1.497802361;2.747703621;;
PRU;TotalVPD;Mort_CANEU;14.01769;1.592831;6.031733;20.62078;-5.013687579;4.145505707;10.76632;17.07877;-2.041252336;1.921785802;;
THO;logPTot;Mort_CANEU;6.764033;0.1991497;6.253476;7.42763;-2.563684505;3.332151643;6.45349;7.166513;-1.559344553;2.020992249;;
THO;TotalVPD;Mort_CANEU;13.58368;1.885541;5.287788;18.86658;-4.399740976;2.801795347;9.410267;16.772871;-2.213376957;1.69139308;;
TIL;PUtile;Mort_CANEU;299.0912;56.62144;152.2667;772.05;-2.593090179;8.35299844;201.6167;415.3367;-1.721512205;2.053029736;;
BOJ;PTot;Mort_CANEU;1167.64;244.2054;560.0667;2278.5;-2.487960135;4.54887566;740.1833;1653.975;-1.75039823;1.991499778;;
BOJ;DD;Mort_CANEU;1776.537;302.2454;891.8462;4033.025;-2.927061256;7.465748031;1295.271;2543.767;-1.592302149;2.538434001;;
ERR;TMoy;Mort_CANEU;7.94305;3.491031;0.2777778;20.7;-2.195704421;3.654207024;2.71127;16.33967;-1.498634644;2.405197777;;
ERR;PTot;Mort_CANEU;1137.628;240.1219;475.633;2713.3;-2.756912218;6.561967068;715.5;1569.987;-1.757973762;1.800581288;;
EPB;DD;Mort_CANEU;1598.914;284.4899;655.2357;2993.1;-3.317088937;4.900652009;1009.492;2112.936;-2.071855627;1.806819855;;
EPB;PUtile;Mort_CANEU;288.8394;49.93568;138.18;500.175;-3.017069158;4.232156246;194.2385;392.3733;-1.894455027;2.073345151;;
MEL;TMoy;Mort_CANEU;4.734605;1.721532;-4.233333;11.52;-5.20927755;3.94148642;1.142857;7.814286;-2.086367259;1.788918823;;
MEL;TotalVPD;Mort_CANEU;13.82485;1.954929;4.636614;18.76289;-4.700035653;2.525943397;8.313443;16.59022;-2.819236402;1.414562882;;
PIG;TMoy;Mort_CANEU;2.810512;2.257434;-2.75;10.82;-2.463200253;3.548049688;-1.215385;7.566667;-1.783395218;2.106885517;;
PIG;PTot;Mort_CANEU;825.5302;103.7877;484.1667;1506.183;-3.289055447;6.558125867;652.7177;1023.544;-1.665057613;1.907873476;;
BOP;DD;Mort_CANEU;1597.886;304.5967;695.6143;2951.4;-2.962184751;4.443626605;1004.873;2254.243;-1.946879267;2.154839498;;
BOP;PUtile;Mort_CANEU;300.3079;54.57027;138.18;552.675;-2.97099318;4.624626193;204.6425;426.0667;-1.753068108;2.304529554;;
PET;TMoy;Mort_CANEU;4.438905;1.873521;-3.307143;14.41429;-4.134486883;5.324405224;0.9545455;8.1714286;-1.859792071;1.992250741;;
